"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg","Canton","Canton",NA,NA
2,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca","Canton","Canton",NA,NA
3,68,"ECU","Ecuador",1,"Azuay",3,"El Pan","Canton","Canton",NA,NA
4,68,"ECU","Ecuador",1,"Azuay",4,"Girón","Canton","Canton",NA,"Giron"
5,68,"ECU","Ecuador",1,"Azuay",5,"Gualaceo","Canton","Canton",NA,NA
6,68,"ECU","Ecuador",1,"Azuay",6,"Nabón","Canton","Canton",NA,"Nabon"
7,68,"ECU","Ecuador",1,"Azuay",7,"Oña","Canton","Canton",NA,NA
8,68,"ECU","Ecuador",1,"Azuay",8,"Paute","Canton","Canton",NA,NA
9,68,"ECU","Ecuador",1,"Azuay",9,"Pucará","Canton","Canton",NA,"Pucara"
10,68,"ECU","Ecuador",1,"Azuay",10,"San Fernando","Canton","Canton",NA,NA
11,68,"ECU","Ecuador",1,"Azuay",11,"Santa Isabel","Canton","Canton",NA,NA
12,68,"ECU","Ecuador",1,"Azuay",12,"Sevilla de Oro","Canton","Canton",NA,NA
13,68,"ECU","Ecuador",1,"Azuay",13,"Sigsig","Canton","Canton",NA,"Sissig"
14,68,"ECU","Ecuador",2,"Bolivar",14,"Caluma","Canton","Canton",NA,NA
15,68,"ECU","Ecuador",2,"Bolivar",15,"Chillanes","Canton","Canton",NA,NA
16,68,"ECU","Ecuador",2,"Bolivar",16,"Chimbo","Canton","Canton",NA,NA
17,68,"ECU","Ecuador",2,"Bolivar",17,"Echeandía","Canton","Canton",NA,"Echeandia"
18,68,"ECU","Ecuador",2,"Bolivar",18,"Guaranda","Canton","Canton",NA,NA
19,68,"ECU","Ecuador",2,"Bolivar",19,"Las Naves","Canton","Canton",NA,NA
20,68,"ECU","Ecuador",2,"Bolivar",20,"San Miguel","Canton","Canton",NA,NA
21,68,"ECU","Ecuador",3,"Cañar",21,"Azogues","Canton","Canton",NA,NA
22,68,"ECU","Ecuador",3,"Cañar",22,"Biblián","Canton","Canton",NA,"Biblian"
23,68,"ECU","Ecuador",3,"Cañar",23,"Cañar","Canton","Canton",NA,NA
24,68,"ECU","Ecuador",3,"Cañar",24,"Déleg","Canton","Canton",NA,"Deleg"
25,68,"ECU","Ecuador",3,"Cañar",25,"El Tambo","Canton","Canton",NA,NA
26,68,"ECU","Ecuador",3,"Cañar",26,"La Troncal","Canton","Canton",NA,NA
27,68,"ECU","Ecuador",3,"Cañar",27,"No Delimitado","Canton","Canton",NA,NA
28,68,"ECU","Ecuador",4,"Carchi",28,"Bolívar","Canton","Canton",NA,"Bolivar"
29,68,"ECU","Ecuador",4,"Carchi",29,"Espejo","Canton","Canton",NA,NA
30,68,"ECU","Ecuador",4,"Carchi",30,"Mira","Canton","Canton",NA,NA
31,68,"ECU","Ecuador",4,"Carchi",31,"Montúfar","Canton","Canton",NA,"Montufar"
32,68,"ECU","Ecuador",4,"Carchi",32,"Tulcán","Canton","Canton",NA,"Tulcan"
33,68,"ECU","Ecuador",5,"Chimborazo",33,"Alausí","Canton","Canton",NA,"Alausi"
34,68,"ECU","Ecuador",5,"Chimborazo",34,"Chambo","Canton","Canton",NA,NA
35,68,"ECU","Ecuador",5,"Chimborazo",35,"Chunchi","Canton","Canton",NA,NA
36,68,"ECU","Ecuador",5,"Chimborazo",36,"Colta","Canton","Canton",NA,NA
37,68,"ECU","Ecuador",5,"Chimborazo",37,"Cumandá","Canton","Canton",NA,"Cumanda"
38,68,"ECU","Ecuador",5,"Chimborazo",38,"Guamote","Canton","Canton",NA,NA
39,68,"ECU","Ecuador",5,"Chimborazo",39,"Guano","Canton","Canton",NA,NA
40,68,"ECU","Ecuador",5,"Chimborazo",40,"Pallatanga","Canton","Canton",NA,NA
41,68,"ECU","Ecuador",5,"Chimborazo",41,"Penipe","Canton","Canton",NA,NA
42,68,"ECU","Ecuador",5,"Chimborazo",42,"Riobamba","Canton","Canton",NA,NA
43,68,"ECU","Ecuador",6,"Cotopaxi",43,"La Maná","Canton","Canton",NA,"La Mana"
44,68,"ECU","Ecuador",6,"Cotopaxi",44,"Latacunga","Canton","Canton",NA,NA
45,68,"ECU","Ecuador",6,"Cotopaxi",45,"Pangua","Canton","Canton",NA,NA
46,68,"ECU","Ecuador",6,"Cotopaxi",46,"Pujilí","Canton","Canton",NA,"Pujili"
47,68,"ECU","Ecuador",6,"Cotopaxi",47,"Salcedo","Canton","Canton",NA,NA
48,68,"ECU","Ecuador",6,"Cotopaxi",48,"Saquisilí","Canton","Canton",NA,NA
49,68,"ECU","Ecuador",6,"Cotopaxi",49,"Sigchos","Canton","Canton",NA,NA
50,68,"ECU","Ecuador",7,"El Oro",50,"Arenillas","Canton","Canton",NA,NA
51,68,"ECU","Ecuador",7,"El Oro",51,"Atahualpa","Canton","Canton",NA,NA
52,68,"ECU","Ecuador",7,"El Oro",52,"Balsas","Canton","Canton",NA,NA
53,68,"ECU","Ecuador",7,"El Oro",53,"Chilla","Canton","Canton",NA,NA
54,68,"ECU","Ecuador",7,"El Oro",54,"El Guabo","Canton","Canton",NA,NA
55,68,"ECU","Ecuador",7,"El Oro",55,"Huaquillas","Canton","Canton",NA,NA
56,68,"ECU","Ecuador",7,"El Oro",56,"Las Lajas","Canton","Canton",NA,NA
57,68,"ECU","Ecuador",7,"El Oro",57,"Machala","Canton","Canton",NA,NA
58,68,"ECU","Ecuador",7,"El Oro",58,"Marcabelí","Canton","Canton",NA,"Marcabeli"
59,68,"ECU","Ecuador",7,"El Oro",59,"Pasaje","Canton","Canton",NA,NA
60,68,"ECU","Ecuador",7,"El Oro",60,"Piñas","Canton","Canton",NA,NA
61,68,"ECU","Ecuador",7,"El Oro",61,"Portovelo","Canton","Canton",NA,NA
62,68,"ECU","Ecuador",7,"El Oro",62,"Santa Rosa","Canton","Canton",NA,NA
63,68,"ECU","Ecuador",7,"El Oro",63,"Zaruma","Canton","Canton",NA,NA
64,68,"ECU","Ecuador",8,"Esmeraldas",64,"Atacames","Canton","Canton",NA,NA
65,68,"ECU","Ecuador",8,"Esmeraldas",65,"Eloy Alfaro","Canton","Canton",NA,NA
66,68,"ECU","Ecuador",8,"Esmeraldas",66,"Esmeraldas","Canton","Canton",NA,NA
67,68,"ECU","Ecuador",8,"Esmeraldas",67,"Muisne","Canton","Canton",NA,NA
68,68,"ECU","Ecuador",8,"Esmeraldas",68,"Quinindé","Canton","Canton",NA,"Quininde"
69,68,"ECU","Ecuador",8,"Esmeraldas",69,"San Lorenzo","Canton","Canton",NA,NA
70,68,"ECU","Ecuador",9,"Galápagos",70,"Isabela","Canton","Canton",NA,NA
71,68,"ECU","Ecuador",9,"Galápagos",71,"San Cristóbal","Canton","Canton",NA,NA
72,68,"ECU","Ecuador",9,"Galápagos",72,"Santa Cruz","Canton","Canton",NA,NA
73,68,"ECU","Ecuador",10,"Guayas",73,"Alfredo Baquerizo Moreno","Canton","Canton",NA,"Alfredo Baquerizo Mor"
74,68,"ECU","Ecuador",10,"Guayas",74,"Balao","Canton","Canton",NA,NA
75,68,"ECU","Ecuador",10,"Guayas",75,"Balzar","Canton","Canton",NA,NA
76,68,"ECU","Ecuador",10,"Guayas",76,"Colimes","Canton","Canton",NA,NA
77,68,"ECU","Ecuador",10,"Guayas",77,"Coronel Marcelino Maridueña","Canton","Canton",NA,"Crnel. Marcelino Mari"
78,68,"ECU","Ecuador",10,"Guayas",78,"Daule","Canton","Canton",NA,NA
79,68,"ECU","Ecuador",10,"Guayas",79,"Durán","Canton","Canton",NA,"Duran"
80,68,"ECU","Ecuador",10,"Guayas",80,"El Empalme","Canton","Canton",NA,NA
81,68,"ECU","Ecuador",10,"Guayas",81,"General Antonio Elizalde","Canton","Canton",NA,"Gnral. Antonio Elizal"
82,68,"ECU","Ecuador",10,"Guayas",82,"Guayaquil","Canton","Canton",NA,NA
83,68,"ECU","Ecuador",10,"Guayas",83,"Lomas de Sargentillo","Canton","Canton",NA,NA
84,68,"ECU","Ecuador",10,"Guayas",84,"Milagro","Canton","Canton",NA,NA
85,68,"ECU","Ecuador",10,"Guayas",85,"Naranjal","Canton","Canton",NA,NA
86,68,"ECU","Ecuador",10,"Guayas",86,"Naranjito","Canton","Canton",NA,NA
87,68,"ECU","Ecuador",10,"Guayas",87,"Nobol","Canton","Canton",NA,NA
88,68,"ECU","Ecuador",10,"Guayas",88,"Palestina","Canton","Canton",NA,NA
89,68,"ECU","Ecuador",10,"Guayas",89,"Pedro Carbo","Canton","Canton",NA,NA
90,68,"ECU","Ecuador",10,"Guayas",90,"Playas","Canton","Canton",NA,NA
91,68,"ECU","Ecuador",10,"Guayas",91,"Samborondón","Canton","Canton",NA,"Samborondon"
92,68,"ECU","Ecuador",10,"Guayas",92,"San Jacinto de Yaguac","Canton","Canton",NA,NA
93,68,"ECU","Ecuador",10,"Guayas",93,"Santa Lucia","Canton","Canton",NA,NA
94,68,"ECU","Ecuador",10,"Guayas",94,"Simon Bolivar","Canton","Canton",NA,NA
